 Name                               Version      License                              
 Jinja2                             3.1.6        BSD License                          
 MarkupSafe                         3.0.2        BSD License                          
 PyYAML                             6.0.2        MIT License                          
 Pygments                           2.19.2       BSD License                          
 Werkzeug                           3.1.3        BSD License                          
 annotated-types                    0.7.0        MIT License                          
 antlr4-python3-runtime             4.13.2       BSD                                  
 appnope                            0.1.4        BSD License                          
 asttokens                          3.0.0        Apache 2.0                           
 attrs                              25.3.0       UNKNOWN                              
 aws-cdk-lib                        2.212.0      Apache-2.0                           
 aws-cdk.asset-awscli-v1            2.2.242      Apache-2.0                           
 aws-cdk.asset-node-proxy-agent-v6  2.1.0        Apache-2.0                           
 aws-cdk.cloud-assembly-schema      48.6.0       Apache-2.0                           
 aws-sam-translator                 1.99.0       Apache Software License              
 aws-xray-sdk                       2.14.0       Apache Software License              
 backcall                           0.2.0        BSD License                          
 beautifulsoup4                     4.13.5       MIT License                          
 bleach                             6.2.0        Apache Software License              
 boto3                              1.40.17      Apache Software License              
 botocore                           1.40.17      Apache Software License              
 cattrs                             25.1.1       MIT License                          
 cdk-nag                            2.37.10      Apache-2.0                           
 certifi                            2025.8.3     Mozilla Public License 2.0 (MPL 2.0) 
 cffi                               1.17.1       MIT License                          
 cfn-lint                           1.39.1       UNKNOWN                              
 charset-normalizer                 3.4.3        MIT                                  
 constructs                         10.4.2       Apache-2.0                           
 coverage                           7.10.5       Apache-2.0                           
 cryptography                       45.0.6       Apache-2.0 OR BSD-3-Clause           
 decorator                          5.2.1        BSD License                          
 defusedxml                         0.7.1        Python Software Foundation License   
 docker                             7.1.0        Apache Software License              
 docopt                             0.6.2        MIT License                          
 executing                          2.2.0        MIT License                          
 fastjsonschema                     2.21.2       BSD License                          
 graphql-core                       3.2.6        MIT License                          
 idna                               3.10         BSD License                          
 importlib_resources                6.5.2        Apache Software License              
 iniconfig                          2.1.0        MIT License                          
 ipython                            8.12.3       BSD License                          
 jedi                               0.19.2       MIT License                          
 jmespath                           1.0.1        MIT License                          
 joserfc                            1.3.0        BSD License                          
 jsii                               1.113.0      Apache Software License              
 jsonpatch                          1.33         BSD License                          
 jsonpath-ng                        1.7.0        Apache Software License              
 jsonpointer                        3.0.0        BSD License                          
 jsonschema                         4.25.1       UNKNOWN                              
 jsonschema-path                    0.3.4        Apache Software License              
 jsonschema-specifications          2025.4.1     UNKNOWN                              
 jupyter_client                     8.6.3        BSD License                          
 jupyter_core                       5.8.1        UNKNOWN                              
 jupyterlab_pygments                0.3.0        BSD License                          
 lazy-object-proxy                  1.12.0       UNKNOWN                              
 matplotlib-inline                  0.1.7        BSD License                          
 mistune                            3.1.3        BSD License                          
 moto                               5.1.11       Apache-2.0                           
 mpmath                             1.3.0        BSD License                          
 multipart                          1.3.0        MIT License                          
 nbclient                           0.10.2       BSD License                          
 nbconvert                          7.16.6       BSD License                          
 nbformat                           5.10.4       BSD License                          
 networkx                           3.5          BSD License                          
 openapi-schema-validator           0.6.3        BSD License                          
 openapi-spec-validator             0.7.2        Apache Software License              
 packaging                          25.0         Apache Software License; BSD License 
 pandocfilters                      1.5.1        BSD License                          
 parso                              0.8.5        MIT License                          
 pathable                           0.4.4        Apache Software License              
 pexpect                            4.9.0        ISC License (ISCL)                   
 pickleshare                        0.7.5        MIT License                          
 pipreqs                            0.5.0        Apache Software License              
 platformdirs                       4.4.0        MIT License                          
 pluggy                             1.6.0        MIT License                          
 ply                                3.11         BSD                                  
 prompt_toolkit                     3.0.52       BSD License                          
 ptyprocess                         0.7.0        ISC License (ISCL)                   
 publication                        0.0.3        MIT License                          
 pure_eval                          0.2.3        MIT License                          
 py-partiql-parser                  0.6.1        MIT                                  
 pycparser                          2.22         BSD License                          
 pydantic                           2.11.7       MIT License                          
 pydantic_core                      2.33.2       MIT License                          
 pyparsing                          3.2.3        MIT License                          
 pytest                             8.4.1        MIT License                          
 pytest-cov                         6.2.1        MIT                                  
 pytest-mock                        3.14.1       MIT License                          
 python-dateutil                    2.9.0.post0  Apache Software License; BSD License 
 pyzmq                              27.0.2       BSD License                          
 referencing                        0.36.2       UNKNOWN                              
 regex                              2025.7.34    UNKNOWN                              
 requests                           2.32.5       Apache Software License              
 responses                          0.25.8       Apache 2.0                           
 rfc3339-validator                  0.1.4        MIT License                          
 rpds-py                            0.27.0       UNKNOWN                              
 s3-batch-checksum-validation       1.0.0        MIT                                  
 s3transfer                         0.13.1       Apache Software License              
 six                                1.17.0       MIT License                          
 soupsieve                          2.8          MIT License                          
 stack-data                         0.6.3        MIT License                          
 sympy                              1.14.0       BSD License                          
 tinycss2                           1.4.0        BSD License                          
 tornado                            6.5.2        Apache Software License              
 traitlets                          5.14.3       BSD License                          
 typeguard                          2.13.3       MIT License                          
 typing-inspection                  0.4.1        UNKNOWN                              
 typing_extensions                  4.15.0       UNKNOWN                              
 urllib3                            2.5.0        UNKNOWN                              
 webencodings                       0.5.1        BSD License                          
 wrapt                              1.17.3       BSD License                          
 xmltodict                          0.14.2       MIT License                          
 yarg                               0.1.9        MIT License                          
